mod_name,status,reason,curseforge_slug,modrinth_slug,curseforge_version,modrinth_version,curseforge_compare_version,modrinth_compare_version,curseforge_file,modrinth_file,curseforge_date,modrinth_date
Architectury API,EQUAL,compare versions are equal,architectury-api,architectury-api,13.0.8,13.0.8+neoforge,13.0.8,13.0.8,,architectury-13.0.8-neoforge.jar,,2024-10-05T19:24:08.875561Z
Balm,MODRINTH_HIGHER,Modrinth compare version is greater than CurseForge,balm,balm,21.0.56,21.0.58+neoforge-1.21.1,21.0.56,21.0.58,,balm-neoforge-1.21.1-21.0.58.jar,,2026-05-08T06:24:15.195963Z
Blueprint,EQUAL,compare versions are equal,blueprint,blueprint,8.1.0,8.1.0,8.1.0,8.1.0,,blueprint-1.21.1-8.1.0.jar,,2026-05-06T15:37:43.442439Z
Bookshelf,EQUAL,compare versions are equal,bookshelf,bookshelf-lib,21.1.81,21.1.81,21.1.81,21.1.81,,bookshelf-neoforge-1.21.1-21.1.81.jar,,2026-02-10T22:44:22.165059Z
Caelus API,EQUAL,compare versions are equal,caelus,caelus,7.0.1+1.21.1,7.0.1+1.21.1,7.0.1,7.0.1,,caelus-neoforge-7.0.1+1.21.1.jar,,2024-09-05T07:16:42.216168Z
Cloth Config API,EQUAL,compare versions are equal,cloth-config,cloth-config,15.0.140,15.0.140+neoforge,15.0.140,15.0.140,,cloth-config-15.0.140-neoforge.jar,,2024-09-16T17:18:02.926305Z
CoroUtil,CURSEFORGE_HIGHER,CurseForge compare version is greater than Modrinth,coroutil,coroutil,1.3.9,1.21.0-1.3.8,1.3.9,1.3.8,,coroutil-neoforge-1.21.0-1.3.8.jar,,2024-09-14T12:38:45.647812Z
Cupboard,SKIPPED,missing Modrinth project,cupboard,,3.5,,3.5,,,,,
Curios API,EQUAL,compare versions are equal,curios,curios,9.5.1+1.21.1,9.5.1+1.21.1,9.5.1,9.5.1,,curios-neoforge-9.5.1+1.21.1.jar,,2025-05-14T13:34:47.415840Z
Cyclops Core,EQUAL,compare versions are equal,cyclops-core,cyclops-core,1.29.1,1.21.1-1.29.1,1.29.1,1.29.1,,cyclopscore-1.21.1-neoforge-1.29.1.jar,,2026-04-28T17:52:30.646762Z
GeckoLib,EQUAL,compare versions are equal,geckolib,geckolib,4.8.4,4.8.4,4.8.4,4.8.4,,geckolib-neoforge-1.21.1-4.8.4.jar,,2026-03-03T20:06:25.035771Z
GlitchCore,EQUAL,compare versions are equal,glitchcore,glitchcore,2.1.0.2,2.1.0.2,2.1.0.2,2.1.0.2,,GlitchCore-neoforge-1.21.1-2.1.0.2.jar,,2026-05-18T17:16:27.870194Z
Glodium,EQUAL,compare versions are equal,glodium,glodium,2.2,1.21-2.2-neoforge,2.2,2.2,,Glodium-1.21-2.2-neoforge.jar,,2025-02-04T13:09:39.978003Z
GuideME,EQUAL,compare versions are equal,guideme,guideme,21.1.16,21.1.16,21.1.16,21.1.16,,guideme-21.1.16.jar,,2026-05-22T21:56:14.727466Z
JamLib,EQUAL,compare versions are equal,jamlib,jamlib,1.3.6+1.21.1,1.3.6+1.21.1,1.3.6,1.3.6,,jamlib-neoforge-1.3.6+1.21.1.jar,,2026-03-16T13:34:30.546553Z
Json Things,SKIPPED,missing Modrinth project,json-things,,0.13.7,,0.13.7,,,,,
Kotlin for Forge,EQUAL,compare versions are equal,kotlin-for-forge,kotlin-for-forge,5.11.0,5.11.0,5.11.0,5.11.0,,kotlinforforge-5.11.0-all.jar,,2026-01-17T01:22:52.020905Z
libIPN,EQUAL,compare versions are equal,libipn,libipn,6.6.3,neoforge-1.21.1-6.6.3,6.6.3,6.6.3,,libIPN-neoforge-1.21.1-6.6.3.jar,,2026-03-25T11:26:18.704020Z
Moog's Structure Lib,EQUAL,compare versions are equal,moogs-structure-lib,moogs-structure-lib,2.0.2,2.0.2,2.0.2,2.0.2,,moogs_structures-neoforge-1.21.1-2.0.2.jar,,2026-04-14T14:31:27.184354Z
Moonlight Lib,CURSEFORGE_HIGHER,CurseForge compare version is greater than Modrinth,selene,moonlight,3.0.16,1.21.1-3.0.14,3.0.16,3.0.14,,moonlight-neoforge-1.21.1-3.0.14.jar,,2026-05-22T20:56:51.422812Z
o?o (owo-lib),MODRINTH_HIGHER,Modrinth compare version is greater than CurseForge,owo-lib,owo-lib,0.12.15.5,0.12.15.5-beta.1+1.21,0.12.15.5,0.12.15.5.beta.1,,owo-lib-neoforge-0.12.15.5-beta.1+1.21.jar,,2025-07-19T00:45:19.909132Z
Patchouli,EQUAL,compare versions are equal,patchouli,patchouli,93,1.21.1-93-neoforge,93,93,,Patchouli-1.21.1-93-NEOFORGE.jar,,2026-03-08T20:49:51.469086Z
Placebo,NO_MODRINTH_MATCH,no 1.21.1 neoforge Modrinth version found,placebo,placebo,,,,,,,,
Prickle,EQUAL,compare versions are equal,prickle,prickle,21.1.11,21.1.11,21.1.11,21.1.11,,prickle-neoforge-1.21.1-21.1.11.jar,,2025-09-04T03:19:44.476257Z
Puzzles Lib,MODRINTH_HIGHER,Modrinth compare version is greater than CurseForge,puzzles-lib,puzzles-lib,21.1.50,v21.1.51-1.21.1-NeoForge,21.1.50,21.1.51,,PuzzlesLib-v21.1.51-1.21.1-NeoForge.jar,,2026-05-30T07:23:53.825937Z
Resourceful Config,EQUAL,compare versions are equal,resourceful-config,resourceful-config,3.0.11,3.0.11,3.0.11,3.0.11,,resourcefulconfig-neoforge-1.21-3.0.11.jar,,2025-04-26T17:59:04.789908Z
Resourceful Lib,EQUAL,compare versions are equal,resourceful-lib,resourceful-lib,3.0.12,3.0.12,3.0.12,3.0.12,,resourcefullib-neoforge-1.21-3.0.12.jar,,2024-12-08T04:44:13.631452Z
Scalable Cat's Force,EQUAL,compare versions are equal,scalable-cats-force,scalable-cats-force,11,3.7.1-build-11,3.7.1,3.7.1,,ScalableCatsForce-NeoForge-3.7.1-build-11-with-library.jar,,2025-07-06T13:52:50.961619Z
Searchables,EQUAL,compare versions are equal,searchables,searchables,1.0.2,1.0.2,1.0.2,1.0.2,,Searchables-neoforge-1.21.1-1.0.2.jar,,2024-10-21T20:44:51.147209Z
Sophisticated Core,EQUAL,compare versions are equal,sophisticated-core,sophisticated-core,1.4.42.1892,1.21.1-1.4.42.1892,1.4.42.1892,1.4.42.1892,,sophisticatedcore-1.21.1-1.4.42.1892.jar,,2026-05-25T21:04:40.116565Z
SuperMartijn642's Core Lib,EQUAL,compare versions are equal,supermartijn642s-core-lib,supermartijn642s-core-lib,1.1.21,1.1.21-neoforge-mc1.21,1,1,,supermartijn642corelib-1.1.21-neoforge-mc1.21.jar,,2026-03-20T03:53:20.638641Z
U Team Core,EQUAL,compare versions are equal,u-team-core,u-team-core,5.6.2.384,5.6.2.384,5.6.2.384,5.6.2.384,,u_team_core-neoforge-1.21.1-5.6.2.384.jar,,2025-05-19T18:42:39.737527Z
YUNG's API,EQUAL,compare versions are equal,yungs-api-neoforge,yungs-api,5.1.6,1.21.1-NeoForge-5.1.6,5.1.6,5.1.6,,YungsApi-1.21.1-NeoForge-5.1.6.jar,,2025-07-01T07:08:10.097748Z
Zero CORE 2,CURSEFORGE_HIGHER,CurseForge compare version is greater than Modrinth,zerocore,zerocore,2.4.21,1.21.1-2.4.9,2.4.21,2.4.9,,ZeroCore2-1.21.1-2.4.9.jar,,2024-09-18T04:55:08.337354Z
Iris Shaders,EQUAL,compare versions are equal,iris,iris,1.8.12+mc1.21.1,1.8.12+1.21.1-neoforge,1.8.12,1.8.12,,iris-neoforge-1.8.12+mc1.21.1.jar,,2025-06-17T15:51:56.477905Z
Jade Addons,EQUAL,compare versions are equal,jade-addons,jade-addons-forge,6.1.0,6.1.0+neoforge,6.1.0,6.1.0,,JadeAddons-1.21.1-NeoForge-6.1.0.jar,,2025-03-17T11:51:01.569432Z
Just Enough Effects Descriptions,EQUAL,compare versions are equal,just-enough-effect-descriptions-jeed,just-enough-effect-descriptions-jeed,2.3.2,1.21-2.3.2,2.3.2,2.3.2,,jeed-1.21-2.3.2.jar,,2025-12-17T20:43:45.666641Z
AppleSkin,EQUAL,compare versions are equal,appleskin,appleskin,3.0.9+mc1.21,3.0.9+mc1.21,3.0.9,3.0.9,,appleskin-neoforge-mc1.21-3.0.9.jar,,2026-04-01T04:50:54.655459Z
BadOptimizations,EQUAL,compare versions are equal,badoptimizations,badoptimizations,2.4.1,2.4.1,2.4.1,2.4.1,,BadOptimizations-2.4.1-1.21.1.jar,,2025-12-15T23:15:19.530081Z
biomemusic mod,SKIPPED,missing Modrinth project,biome-music,,3.5,,3.5,,,,,
Borderless Window,EQUAL,compare versions are equal,borderless,borderless-window,1,1.7.5_1,1.7.5.1,1.7.5.1,,borderless-neoforge-1.21.1-1.7.5_1-all.jar,,2026-02-10T13:52:51.140747Z
Build Guide,EQUAL,compare versions are equal,build-guide,build-guide,0.4.8,0.4.8-1.21,0.4.8,0.4.8,,BuildGuide-1.21-0.4.8.jar,,2026-02-06T20:28:54.786649Z
Bad Wither No Cookie Reloaded,EQUAL,compare versions are equal,bad-wither-no-cookie-reloaded,bad-wither-no-cookie,3.20.4,3.20.4,3.20.4,3.20.4,,bwncr-neoforge-1.21.1-3.20.4.jar,,2026-05-23T23:36:01.526622Z
ClearWater,EQUAL,compare versions are equal,clear-water,clear-water,3.0.0,3.0.0,3.0.0,3.0.0,,clearwater-neoforge-1.21-3.0.0.jar,,2024-12-05T23:01:11.821402Z
Clickable Advancements mod,SKIPPED,missing Modrinth project,clickable-advancements,,3.8,,3.8,,,,,
clientcrafting mod,SKIPPED,missing Modrinth project,client-crafting,,2.1,,2.1,,,,,
Colorful Hearts,EQUAL,compare versions are equal,colorful-hearts,colorful-hearts,10.5.9,10.5.9,10.5.9,10.5.9,,colorfulhearts-neoforge-1.21.1-10.5.9.jar,,2025-07-30T22:33:27.866170Z
Configured,SKIPPED,missing Modrinth project,configured,,2.6.3,,2.6.3,,,,,
Controlling,EQUAL,compare versions are equal,controlling,controlling,19.0.5,19.0.5,19.0.5,19.0.5,,Controlling-neoforge-1.21.1-19.0.5.jar,,2025-03-30T23:44:43.868835Z
