mod_name,filename,version,download_listing_page,loader,update_status,dependencies,license,github_page,type,latest_version,latest_listing_item,project_platform,project_slug,project_url,modrinth_platform,modrinth_link
Architectury API,[[[lib]]]architectury-13.0.8-neoforge.jar,13.0.8,https://www.curseforge.com/minecraft/mc-mods/architectury-api/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,UP_TO_DATE,,LGPL-3.0,https://github.com/architectury/architectury,LIBRARY,13.0.8,13.0.8,CurseForge,architectury-api,https://www.curseforge.com/minecraft/mc-mods/architectury-api,YES,https://modrinth.com/mod/architectury-api
Balm,[[[lib]]]balm-neoforge-1.21.1-21.0.37.jar,21.0.37,https://www.curseforge.com/minecraft/mc-mods/balm/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,Apache-2.0,https://github.com/TwelveIterations/Balm,LIBRARY,21.0.56,21.0.56,CurseForge,balm,https://www.curseforge.com/minecraft/mc-mods/balm,YES,https://modrinth.com/mod/balm
Blueprint,[[[lib]]]blueprint-1.21.1-8.0.1.jar,8.0.1,https://www.curseforge.com/minecraft/mc-mods/blueprint/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,All Rights Reserved,https://github.com/team-abnormals/blueprint,LIBRARY,8.1.0,8.1.0,CurseForge,blueprint,https://www.curseforge.com/minecraft/mc-mods/blueprint,YES,https://modrinth.com/mod/blueprint
Bookshelf,[[[lib]]]bookshelf-neoforge-1.21.1-21.1.59.jar,21.1.59,https://www.curseforge.com/minecraft/mc-mods/bookshelf/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,LGPL-2.1,https://github.com/Darkhax-Minecraft/Bookshelf,LIBRARY,21.1.81,21.1.81,CurseForge,bookshelf,https://www.curseforge.com/minecraft/mc-mods/bookshelf,YES,https://modrinth.com/mod/bookshelf-lib
Caelus API,[[[lib]]]caelus-neoforge-7.0.1+1.21.1.jar,7.0.1+1.21.1,https://www.curseforge.com/minecraft/mc-mods/caelus/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,UP_TO_DATE,,LGPL-3.0,https://github.com/TheIllusiveC4/Caelus,LIBRARY,7.0.1+1.21.1,7.0.1+1.21.1,CurseForge,caelus,https://www.curseforge.com/minecraft/mc-mods/caelus,YES,https://modrinth.com/mod/caelus
Cloth Config API,[[[lib]]]cloth-config-15.0.140-neoforge.jar,15.0.140,https://www.curseforge.com/minecraft/mc-mods/cloth-config/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,UP_TO_DATE,,LGPL-3.0,https://github.com/shedaniel/ClothConfig,LIBRARY,15.0.140,15.0.140,CurseForge,cloth-config,https://www.curseforge.com/minecraft/mc-mods/cloth-config,YES,https://modrinth.com/mod/cloth-config
CoroUtil,[[[lib]]]coroutil-neoforge-1.21.0-1.3.8.jar,1.21.0-1.3.8,https://www.curseforge.com/minecraft/mc-mods/coroutil/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,,https://github.com/Corosauce/CoroUtil,LIBRARY,1.3.9,1.21.0-1.3.9,CurseForge,coroutil,https://www.curseforge.com/minecraft/mc-mods/coroutil,YES,https://modrinth.com/mod/coroutil
Cupboard,[[[lib]]]cupboard-1.21-3.5.jar,3.5,https://www.curseforge.com/minecraft/mc-mods/cupboard/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,UP_TO_DATE,,,https://github.com/someaddons/cupboard,LIBRARY,3.5,cupboard-1.21-3.5.jar,CurseForge,cupboard,https://www.curseforge.com/minecraft/mc-mods/cupboard,NO,
Curios API,[[[lib]]]curios-neoforge-9.4.0+1.21.1.jar,9.4.0+1.21.1,https://www.curseforge.com/minecraft/mc-mods/curios/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,LGPL-3.0,https://github.com/TheIllusiveC4/Curios,LIBRARY,9.5.1+1.21.1,9.5.1+1.21.1,CurseForge,curios,https://www.curseforge.com/minecraft/mc-mods/curios,YES,https://modrinth.com/mod/curios
Cyclops Core,[[[lib]]]cyclopscore-1.21.1-neoforge-1.25.8.jar,1.25.8,https://www.curseforge.com/minecraft/mc-mods/cyclops-core/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,MIT,https://github.com/CyclopsMC/CyclopsCore,LIBRARY,1.29.1,1.29.1,CurseForge,cyclops-core,https://www.curseforge.com/minecraft/mc-mods/cyclops-core,YES,https://modrinth.com/mod/cyclops-core
GeckoLib,[[[lib]]]geckolib-neoforge-1.21.1-4.7.5.1.jar,4.7.5.1,https://www.curseforge.com/minecraft/mc-mods/geckolib/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,MIT,https://github.com/bernie-g/geckolib,LIBRARY,4.8.4,4.8.4,CurseForge,geckolib,https://www.curseforge.com/minecraft/mc-mods/geckolib,YES,https://modrinth.com/mod/geckolib
GlitchCore,[[[lib]]]GlitchCore-neoforge-1.21.1-2.1.0.0.jar,2.1.0.0,https://www.curseforge.com/minecraft/mc-mods/glitchcore/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,All Rights Reserved,https://github.com/Glitchfiend/GlitchCore,LIBRARY,2.1.0.2,2.1.0.2,CurseForge,glitchcore,https://www.curseforge.com/minecraft/mc-mods/glitchcore,YES,https://modrinth.com/mod/glitchcore
Glodium,[[[lib]]]Glodium-1.21-2.2-neoforge.jar,1.21-2.2-neoforge,https://www.curseforge.com/minecraft/mc-mods/glodium/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,UP_TO_DATE,,MIT,https://github.com/GlodBlock/Glodium,LIBRARY,2.2,1.21-2.2-neoforge,CurseForge,glodium,https://www.curseforge.com/minecraft/mc-mods/glodium,YES,https://modrinth.com/mod/glodium
GuideME,[[[lib]]]guideme-21.1.6.jar,21.1.6,https://www.curseforge.com/minecraft/mc-mods/guideme/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,LGPL-3.0,https://github.com/AppliedEnergistics/GuideME,LIBRARY,21.1.16,21.1.16,CurseForge,guideme,https://www.curseforge.com/minecraft/mc-mods/guideme,YES,https://modrinth.com/mod/guideme
JamLib,[[[lib]]]jamlib-neoforge-1.3.2+1.21.1.jar,1.3.2+1.21.1,https://www.curseforge.com/minecraft/mc-mods/jamlib/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,architectury (required),MIT,https://github.com/JamCoreModding/jam-lib,LIBRARY,1.3.6+1.21.1,1.3.6+1.21.1,CurseForge,jamlib,https://www.curseforge.com/minecraft/mc-mods/jamlib,YES,https://modrinth.com/mod/jamlib
Json Things,[[[lib]]]JsonThings-1.21.1-0.13.7.jar,0.13.7,https://www.curseforge.com/minecraft/mc-mods/json-things/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,UP_TO_DATE,,BSD-3-Clause,https://github.com/gigaherz/JsonThings,LIBRARY,0.13.7,JsonThings-1.21.1-0.13.7.jar,CurseForge,json-things,https://www.curseforge.com/minecraft/mc-mods/json-things,NO,
Kotlin for Forge,[[[lib]]]kotlinforforge-5.7.0-all.jar,5.7.0,https://www.curseforge.com/minecraft/mc-mods/kotlin-for-forge/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,LGPL-2.1,https://github.com/thedarkcolour/KotlinForForge,LIBRARY,5.11.0,5.11.0,CurseForge,kotlin-for-forge,https://www.curseforge.com/minecraft/mc-mods/kotlin-for-forge,YES,https://modrinth.com/mod/kotlin-for-forge
libIPN,[[[lib]]]libIPN-neoforge-1.21-6.4.0.jar,6.4.0,https://www.curseforge.com/minecraft/mc-mods/libipn/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,kotlin-for-forge (required),AGPL-3.0,https://github.com/blackd/libIPN,LIBRARY,6.6.3,6.6.3,CurseForge,libipn,https://www.curseforge.com/minecraft/mc-mods/libipn,YES,https://modrinth.com/mod/libipn
Moog's Structure Lib,[[[lib]]]moogs_structures-neoforge-1.21.1-2.0.2.jar,2.0.2,https://modrinth.com/mod/moogs-structure-lib/versions?g=1.21.1&l=neoforge,NeoForge,UP_TO_DATE,,LGPL-3.0-only,https://github.com/FinnSetchell/MoogsStructureLib/,LIBRARY,2.0.2,moogs_structures-neoforge-1.21.1-2.0.2.jar,Modrinth,moogs-structure-lib,https://modrinth.com/mod/moogs-structure-lib,YES,https://modrinth.com/mod/moogs-structure-lib
Moonlight Lib,[[[lib]]]moonlight-1.21-2.18.5-neoforge.jar,1.21-2.18.5,https://www.curseforge.com/minecraft/mc-mods/selene/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,All Rights Reserved,https://github.com/MehVahdJukaar/Selene,LIBRARY,3.0.16,3.0.16,CurseForge,selene,https://www.curseforge.com/minecraft/mc-mods/selene,YES,https://modrinth.com/mod/moonlight
o?o (owo-lib),[[[lib]]]owo-lib-neoforge-0.12.15.1-beta.2+1.21.jar,0.12.15.1-beta.2+1.21,https://www.curseforge.com/minecraft/mc-mods/owo-lib/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,MIT,https://github.com/glisco03/owo-lib,LIBRARY,0.12.15.5,0.12.15.5-beta.1+1.21,CurseForge,owo-lib,https://www.curseforge.com/minecraft/mc-mods/owo-lib,YES,https://modrinth.com/mod/owo-lib
Patchouli,[[[lib]]]Patchouli-1.21-88-NEOFORGE.jar,1.21-88-NEOFORGE,https://www.curseforge.com/minecraft/mc-mods/patchouli/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,CC-BY-NC-SA-3.0,https://github.com/Vazkii/Patchouli,LIBRARY,93,1.21.1-93-NEOFORGE,CurseForge,patchouli,https://www.curseforge.com/minecraft/mc-mods/patchouli,YES,https://modrinth.com/mod/patchouli
Placebo,[[[lib]]]Placebo-1.21.1-9.9.1.jar,9.9.1,https://www.curseforge.com/minecraft/mc-mods/placebo/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,UP_TO_DATE,,MIT,https://github.com/Shadows-of-Fire/Placebo,LIBRARY,9.9.1,Placebo-1.21.1-9.9.1.jar,CurseForge,placebo,https://www.curseforge.com/minecraft/mc-mods/placebo,YES,https://modrinth.com/mod/placebo
Prickle,[[[lib]]]prickle-neoforge-1.21.1-21.1.6.jar,21.1.6,https://www.curseforge.com/minecraft/mc-mods/prickle/files/all?page=1&pageSize=20&version=1.21.1&gameVersionTypeId=6&showAlphaFiles=show,NeoForge,OUTDATED,,LGPL-2.1,https://github.com/Darkhax-Minecraft/PrickleMC,LIBRARY,21.1.11,21.1.11,CurseForge,prickle,https://www.curseforge.com/minecraft/mc-mods/prickle,YES,https://modrinth.com/mod/prickle
